"Date","Code","Country.Name","Continent","Continent.Sub.Region","Ethnic.Cultural.Region","Income.Group","Democracy.Status","Annual.Inflation..","Inflation.Volatility","X1.year.ahead.Inflation.forecast..","X2.year.ahead.Inflation.forecast..","GDP","current.USD..billions.","Real.GDP.Growth","y.o.y..","X1.year.ahead.GDP.growth.forecast..","X2.year.ahead.GDP.growth.forecast..","GDP.per.capita","current.USD..thousands.","GDP.per.capita.growth","y.o.y...1","General.Government.Debt","X..GDP","Country.credit.rating","X0...100..best.","Current.Account.Balance","X3.Year.Average....GDP.","Imports","X..of.GDP","Exports","X..of.GDP.1","Minerals.and.Metals....total.exports.","Total.Population..Millions.","Life.expectancy","years","Age.dependency.ratio","old....working.age.pop.","Age.dependency.ratio.1","young....working.age.pop.","Adult.literacy.rate","X.","Primary.education.enrollment","net..","Secondary.education.enrollment....of.24..population.","Tertiary.education.enrollment..per.100","X000.","Emigration.of.tertiary.educated","X..of.univ.educated","Employment.to.Working.Age.Population","Seismic.Activity","X..of.Population.Affected..Time.Weighted.Cumulative.Sum.","Storm","X..of.Population.Affected..Time.Weighted.Cumulative.Sum..1","Flood","X..of.Population.Affected..Time.Weighted.Cumulative.Sum..2","Droughts","X..of.Population.Affected..Time.Weighted.Cumulative.Sum..3","Extreme.Temperature","X..of.Population.Affected..Time.Weighted.Cumulative.Sum..4","Wildfires","X..of.Population.Affected..Time.Weighted.Cumulative.Sum..5"
"01-01-2007","BGR","Bulgaria","Europe","Eastern Europe","East European Sphere","upper middle income","democratic rule",7.1,1.4,5.7,5.7,33.2,6.5,3,3,4.3,15.7,23.4,52.4,-11.6,83.3,61.2,27.9,7.7,73.7,27.5,20.8,98.3,92.3,22.4,3196.7,9.6,59.2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","BHR","Bahrain","Asia","Western Asia","Arabic-Semitic Sphere","high income","autocratic rule",2.1,2.4,3.6,3.6,15.8,6.6,5,5,19.5,5.2,23.6,68.4,6.3,84.8,98.8,81.9,0.8,76,3.4,26.2,90.8,98.2,16.7,1956.2,5.1,62.5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","BIH","Bosnia Herzeg.","Europe","Southern Europe","East European Sphere","lower middle income","democratic rule",0.9,1,5.7,5.7,12.3,6,3,3,3.3,13.4,21.8,31.4,-12.7,73.7,36.7,21.4,3.8,75.5,17.5,19.7,97.6,94,19.7,2822.2,20.3,35.6,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","BLR","Belarus","Europe","Eastern Europe","East European Sphere","lower middle income","autocratic rule",7.1,4.9,5.7,5.7,37,10,3,3,3.8,23,13.4,37.6,-2.1,47.3,60.1,38.8,9.8,69.6,19.5,21.1,99.7,88.8,28.3,5628.2,3.2,61,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","BLZ","Belize","South America","Central America","Latin American Sphere","lower middle income","democratic rule",2.9,0.9,8.4,8.4,1.2,4.7,3.4,3.4,4.2,6.5,92.5,42.6,-9.6,62.4,61.4,16.4,0.3,76.9,5.9,60.4,93.4,95.3,16.8,268.5,65.5,61.1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","BOL","Bolivia","South America","Southern South America","Latin American Sphere","lower middle income","democratic rule",6,0.7,8.4,8.4,11.5,2.8,3.4,3.4,1.2,18.3,55.2,28.4,6.6,35.3,41.8,73.6,9.3,66.3,7.8,56.1,90.7,94.9,19.5,3953.4,5.8,72.7,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","BRA","Brazil","South America","Southern South America","Latin American Sphere","upper middle income","democratic rule",3,1.5,6.3,6.3,1093.5,4,3.3,3.3,5.8,21.6,66.7,65.3,1.1,14.2,14.4,19.8,188,72.9,10.4,36.2,90,94.4,27.9,2502.2,2,69.1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","BRB","Barbados","North America","Caribbean","Anglosaxon Sphere","high income","democratic rule",4.9,2.7,8.4,8.4,3.9,3.6,3.4,3.4,14.3,5.2,73.2,63.4,-7.5,56,60.1,36.2,0.3,77.7,14,26.3,99.7,96.2,22.7,4900.2,62.6,72.1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","BTN","Bhutan","Asia","Southern Asia","Indo-Persian Sphere","lower middle income","autocratic rule",5.3,1.1,3,3,0.9,6.8,5.4,5.4,1.3,7.1,84.9,33,-11.7,31.1,62.6,42.7,0.7,66.8,8.9,43.1,52.8,83.8,11.8,589.1,0.6,74,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","BWA","Botswana","Africa","Southern Africa","African Sphere","upper middle income","democratic rule",7.4,2.5,6.2,6.2,11.3,5.1,2.6,2.6,5.9,7.6,5.4,64.7,-5.9,38.8,47,89.7,1.9,55.5,6.3,53.6,83.3,84,15.1,891.6,5.1,66.1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","CAN","Canada","North America","Northern America","Anglosaxon Sphere","high income","democratic rule",1.1,0.6,1.3,1.3,1278.6,2.8,1.3,1.3,39.2,11.6,70.3,92.1,1.6,33.3,36.1,27.7,32.6,81,24,22.9,97.6,99.5,26.1,4193.3,4.7,74.8,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","CHE","Switzerland","Europe","Western Europe","German Sphere","high income","democratic rule",0.1,0.4,0.2,0.2,391.2,3.6,1.2,1.2,52.4,4.3,64.6,92.8,13,45.9,52.5,5.4,7.5,82.2,25.3,22.5,97.6,89,19.3,2767.3,9.6,79.9,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","CHL","Chile","South America","Southern South America","Latin American Sphere","upper middle income","democratic rule",2.8,1.3,2.7,2.7,146.8,5.8,5.1,5.1,8.9,22.9,5,77.9,2.3,41.1,42.4,65.3,16.5,78.8,13.6,30.9,98.6,88,18.1,4077.9,6,57.6,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","CHN","China","Asia","Eastern Asia","East Asian Sphere","lower middle income","autocratic rule",2.2,1.4,3.2,3.2,2712.9,12.7,7.6,7.6,2.1,19.6,16.2,75.4,6,29.2,39.1,3.8,1314.6,73.5,12.4,23.6,93.7,99.5,17,1791.8,3.8,79.9,0,0.1,0.2,0.1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","CIV","Côte d'Ivoire","Africa","Western Africa","African Sphere","low income","autocratic rule",2.6,1.4,6.2,6.2,17.4,0.7,2.6,2.6,0.9,4.3,84.2,20.4,4.9,34.3,52.7,37.9,18.3,58.4,5.8,82,54.6,54.9,6.7,378.1,6.2,68.1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","CMR","Cameroon","Africa","Middle Africa","African Sphere","lower middle income","autocratic rule",1.6,2.3,6.2,6.2,18,3.2,2.6,2.6,1,5.8,15.9,28.2,-3.4,26.7,23,66.2,17.9,51.7,6,71.5,75.9,77.2,5.2,683.6,17.3,71,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","COD","Democratic Republic of Congo","Africa","Middle Africa","African Sphere","low income","autocratic rule",5,4.8,6.2,6.2,8.8,5.6,2.6,2.6,0.1,19.4,149,25.8,-8.7,28.9,54.3,72.8,59.1,48,4.8,82.1,66.6,60.2,3.4,612.3,14.9,69.6,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","COG","Congo, Rep.","Africa","Middle Africa","African Sphere","lower middle income","democratic rule",8.5,2.8,6.2,6.2,7.7,6.2,2.6,2.6,2.1,23.6,98.8,20.5,1.4,28.9,84.2,67.8,3.6,53.9,5.3,87.4,71.9,60.2,10.9,395.3,16,69.2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","COL","Colombia","South America","Northern South America","Latin American Sphere","lower middle income","democratic rule",4.7,0.7,2.5,2.5,160.7,6.7,4.1,4.1,3.7,8,36.8,56.3,-1.1,22,17.8,45,43.7,73.4,9.4,38.9,93.4,88.5,19.9,3072.3,10.4,55,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","CRI","Costa Rica","North America","Central America","Latin American Sphere","upper middle income","democratic rule",9.2,1.4,8.4,8.4,22.5,8.8,3.4,3.4,5.1,11,33.3,53.7,-4.4,55.6,49.1,1.3,4.4,79.1,9.5,34.9,96,98.8,15.5,2605,7.1,64,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","CUB","Cuba","North America","Caribbean","Latin American Sphere","lower middle income","democratic rule",5.7,3.3,8.4,8.4,16.3,6.7,3.4,3.4,3,18.5,49.4,12.8,-2.2,31.1,18.7,1.4,11.3,79,16.8,23.8,99.8,60.2,17.5,6153.9,28.8,60.8,0,0.4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","CYP","Cyprus","Europe","Southern Europe","East European Sphere","high income","democratic rule",1.6,0.9,1.6,1.6,18.4,4.1,-0.7,-0.7,17.6,6.8,64.7,74.9,-5.2,58.4,48,20.7,1,80,14.6,21.7,97.8,99.2,15.8,2674,34.2,70.7,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","CZE","Czech Rep.","Europe","Eastern Europe","East European Sphere","high income","democratic rule",1.3,0.7,2,2,142.6,7,0.3,0.3,13.9,14.1,28.3,75.5,-2.6,71.8,67,3.5,10.3,76.9,24.4,19.3,99.7,92.5,20.4,3344,8.5,66.3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","DEU","Germany","Europe","Western Europe","German Sphere","high income","democratic rule",1.7,0.3,1.8,1.8,2921.3,3.9,0.8,0.8,35.4,4.6,67.9,91.5,5.1,40.9,45.5,3.6,82.5,80.2,31.3,19.9,97.6,98.3,30.5,3961.7,5.8,69.3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","DNK","Denmark","Europe","Northern Europe","Nordic Sphere","high income","democratic rule",1.8,0.4,3.3,3.3,274.4,3.4,3.1,3.1,50.4,6,41,90.4,3.1,52.5,52.1,12.3,5.4,78.7,27.1,26.8,97.6,95.6,20.8,4265.1,7.8,78.5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","DOM","Dominican Rep.","North America","Caribbean","Latin American Sphere","lower middle income","democratic rule",4.4,23,8.4,8.4,35.7,10.7,3.4,3.4,3.8,4.9,25.4,38.3,-7.2,39.4,30,16.4,9.4,74.7,10.4,45,96.8,77.5,15.6,3200.4,22.4,59.5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","DZA","Algeria","Africa","Northern Africa","Arabic-Semitic Sphere","lower middle income","autocratic rule",1.8,2.5,5,5,117.3,2,3.7,3.7,3.5,11.9,26.8,55.9,5.9,27.6,48.6,98.3,33.4,72.9,7.4,41.4,72.6,95.2,19.3,2507.7,9.5,40.4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","ECU","Ecuador","South America","Northern South America","Latin American Sphere","lower middle income","democratic rule",2.7,0.7,8.4,8.4,41.7,4.8,3.4,3.4,3.1,11.1,28.5,20.3,1.4,41.3,33.9,59.6,13.6,75.4,10.3,46.2,84.2,96.8,12.2,3883.7,9.5,72.7,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","EGY","Egypt","Africa","Northern Africa","Arabic-Semitic Sphere","lower middle income","autocratic rule",12.5,3.5,11.5,11.5,107.4,6.8,2.5,2.5,1.4,17.4,90.3,51.4,-1.8,45.5,29.9,61.5,75.6,70.5,7.4,51.8,66.4,93.9,15.4,3180.1,10.7,45.3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","ERI","Eritrea","Africa","Eastern Africa","Arabic-Semitic Sphere","low income","autocratic rule",163.2,57.3,6.2,6.2,1.2,-1,2.6,2.6,0.3,6.5,151.6,26.5,-4.2,43.4,6.9,31.3,4.6,60.4,6.7,76.3,65.3,84.4,7.7,111.2,35.2,80.4,0,0,0,0.3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","ESP","Spain","Europe","Southern Europe","Roman Sphere","high income","democratic rule",2.4,0.5,2.2,2.2,1235.9,4.1,-2.1,-2.1,28.1,7.6,39.7,81.6,-6.7,32.2,26.3,6.5,44,81.3,25.6,22.6,97.6,99.7,22.6,4152.3,4.2,66.1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","EST","Estonia","Europe","Northern Europe","Nordic Sphere","high income","democratic rule",5.1,1.1,1.6,1.6,16.8,10.1,-0.7,-0.7,12.5,21.1,4.4,57.1,-10.1,80.7,72.7,16.5,1.3,73.7,26.9,22.8,99.8,94.2,24.8,5134.3,9.9,71.4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","ETH","Ethiopia","Africa","Eastern Africa","Arabic-Semitic Sphere","low income","autocratic rule",18.3,5,6.2,6.2,15.2,11.5,2.6,2.6,0.2,20.4,66.8,19.7,-7.8,22.9,13.9,6.6,76,56.1,5.3,84.7,35.9,65.2,5.9,244,9.8,84.7,0,0,0,0.3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","FIN","Finland","Europe","Northern Europe","Nordic Sphere","high income","democratic rule",2.3,0.7,1.6,1.6,208,4.4,-0.7,-0.7,39.5,5.7,39.6,90.6,5.1,40.3,45.5,8.7,5.3,80.1,28.2,24.3,97.6,96.8,19.7,5938.7,7.2,76.3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","FRA","France","Europe","Western Europe","Roman Sphere","high income","democratic rule",1.3,0.4,1.4,1.4,2270.4,2.7,-0.7,-0.7,37,5.1,63.9,90.2,-0.3,28.9,27,5.2,61.4,81.6,27.3,29.3,97.6,98.6,25.2,3632.6,3.5,64.4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","GBR","United Kingdom","Europe","Northern Europe","Anglosaxon Sphere","high income","democratic rule",2.7,0.5,2.8,2.8,2447.7,2.6,0.5,0.5,40.4,6.6,43.1,86.8,-2.3,32,28.5,13.3,60.5,79.8,25.7,26.3,94.5,98.4,23.4,3902.8,17.1,73.8,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","GEO","Georgia","Europe","Eastern Europe","East European Sphere","lower middle income","democratic rule",10.4,2.6,5.7,5.7,7.8,9.4,3,3,1.7,22.1,27.3,30.9,-10.7,57.7,32.9,30.1,4.4,72,23.5,22.6,99.7,89.1,20,3330.1,2.8,66.9,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","GHA","Ghana","Africa","Western Africa","African Sphere","low income","democratic rule",10.9,2.7,6.2,6.2,20.4,6.1,2.6,2.6,0.9,15.7,26.2,33.8,-6.7,71,25.2,33.7,22.2,57.1,7.1,68.2,65.8,63.6,10.7,507.5,44.7,70.6,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","GMB","Gambia","Africa","Western Africa","African Sphere","low income","autocratic rule",2,5.7,6.2,6.2,0.7,0.8,2.6,2.6,0.4,1.9,142.3,18.4,-0.1,62.7,33.2,49.7,1.5,56.6,5.5,69.1,45.3,61.8,9.8,107.1,67.8,74.2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","GRC","Greece","Europe","Southern Europe","East European Sphere","high income","democratic rule",2.7,0.4,-0.7,-0.7,265.3,5.5,-5.9,-5.9,23.6,9,106.1,74.9,-8,31.9,22.9,17.4,11.2,79.7,30.1,21.5,97,99.5,19.7,5945.6,12.2,61.9,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","GTM","Guatemala","North America","Central America","Latin American Sphere","lower middle income","democratic rule",6.2,1.5,8.4,8.4,30.2,5.4,3.4,3.4,2.3,8.4,21.7,44.9,-4.6,42.1,24.9,9.7,13,70.8,6.9,63.8,73.8,94.4,6.9,982.5,23.9,70,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
